latitude,longitude,state,district,label,elevation
23.789749,93.035667,Mizoram,Aizawl,1,523.0
27.154889,88.493194,Sikkim,South Sikkim,1,1104.0
25.21112,92.999782,Assam,Dima Hasao,1,310.0
25.87416938336412,95.04800289717063,,,0,2236.0
23.442118,92.868912,Mizoram,Serchhip,1,794.0
23.710517,93.058403,Mizoram,Champhai,1,1071.0
25.6592756110367,91.78100558242204,,,0,969.0
22.84553,92.79944,Mizoram,Lunglei,1,1299.0
24.23782,92.612062,Mizoram,Kolasib,1,185.0
28.432550803973918,94.943384328276,,,0,1021.0
26.00561866077803,94.10887737105546,,,0,408.0
24.53080220747538,92.25004449741756,,,0,25.0
23.71138889,92.72444444,Mizoram,Aizawl,1,924.0
27.370861,88.683167,Sikkim,East Sikkim,1,2720.0
25.77601111,94.03071389,Nagaland,Kohima,1,581.0
23.53944444,92.65888889,Mizoram,Aizawl,1,552.0
25.942919523743956,91.65789062071164,,,0,453.0
26.36080722195623,93.8403402969708,,,0,145.0
23.20960722,93.13104722,Mizoram,Aizawl,1,911.0
25.00432539359104,93.88519277138332,,,0,1066.0
24.309861,94.234639,Manipur,Tengnoupal,1,534.0
27.70510472878508,91.61132101114038,,,0,3923.0
23.6935,92.570306,Mizoram,Mamit,1,960.0
25.822962770525194,93.87858496867108,,,0,698.0
25.549219786708303,94.04793426309126,,,0,2657.0
23.4807,92.7025,Mizoram,Aizawl,1,997.0
27.083160803961253,95.87473037487688,,,0,910.0
24.935611,93.654444,Manipur,Noney,1,472.0
25.451606810320865,93.91664576841912,,,0,1842.0
23.98693405381344,94.12010914087222,,,0,516.0
26.991078639055285,88.41341040512539,,,0,408.0
25.265492,94.098872,Manipur,Senapati,1,1202.0
25.301781796977824,90.81233657053438,,,0,591.0
22.77655192949201,92.76111829494,,,0,403.0
25.593778,94.822389,Nagaland,Phek,1,1381.0
22.006819995706383,92.50916702874706,,,0,437.0
24.09109,92.795724,Mizoram,Aizawl,1,923.0
24.64175,93.623222,Manipur,Noney,1,518.0
24.414992,92.241894,Tripura,North Tripura,1,61.0
28.06412065509868,94.46184098784676,,,0,872.0
26.16032911666604,94.7267048939192,,,0,2142.0
24.268528,94.103861,Manipur,Chandel,1,1269.0
27.046063990906337,88.60258121873768,,,0,1325.0
27.206611,88.442814,Sikkim,South Sikkim,1,1315.0
23.61972222,92.72527778,Mizoram,Aizawl,1,818.0
24.544361,93.674917,Manipur,Churachandpur,1,1052.0
23.50651919460667,93.41956747660974,,,0,1239.0
25.423400790205516,93.93573990451712,,,0,1482.0
25.137,93.04,Assam,Dima Hasao,1,639.0
27.388488633491,88.06890831626289,,,0,3200.0
25.853019915344976,93.8694900483884,,,0,163.0
27.315028,88.558611,Sikkim,East Sikkim,1,1233.0
25.019139,94.332472,Manipur,Ukhrul,1,1422.0
26.027539424967355,92.5913089237298,,,0,98.0
25.075567,92.363317,Meghalaya,East Jaintia Hills,1,168.0
27.270056,88.430139,Sikkim,South Sikkim,1,479.0
26.069722,94.223444,Nagaland,Wokha,1,1048.0
25.490961,92.070397,Meghalaya,West Jaintia Hills,1,1233.0
27.429556,88.611667,Sikkim,North Sikkim,1,1525.0
26.941840534496876,92.55243663633564,,,0,128.0
28.101031,95.282364,Arunachal Pradesh,East Siang,1,188.0
26.16297,91.7059,Assam,Kamrup,1,203.0
27.065789434691904,88.65628613381502,,,0,1766.0
25.380940539249465,92.89989624743248,,,0,442.0
25.679981175327782,93.4515708030748,,,0,265.0
27.083117,93.601735,Arunachal Pradesh,Papum Pare,1,240.0
22.882607,92.837952,Mizoram,Lunglei,1,609.0
24.416167,94.176167,Manipur,Tengnoupal,1,1330.0
25.314371217518005,92.44168154780172,,,0,996.0
24.37,92.81,Mizoram,Kolasib,1,224.0
23.618316,93.342403,Mizoram,Champhai,1,1522.0
25.23435214495209,92.74171687917584,,,0,1176.0
23.299407,92.696714,Mizoram,Serchhip,1,361.0
26.2748936506235,92.30848635038672,,,0,62.0
22.53113351010163,93.1448172908904,,,0,687.0
26.227500176295216,94.348906389602,,,0,652.0
28.87635937412684,95.004971932161,,,0,2065.0
